NAME,POPESTIMATE2012,POPESTIMATE2014
United States,314112078,318857056
Northeast Region,55832038,56152333
Midwest Region,67331458,67745108
South Region,117346322,119771934
West Region,73602260,75187681
Alabama,4817484,4849377
Alaska,731081,736732
Arizona,6556236,6731484
Arkansas,2949300,2966369
California,38062780,38802500
Colorado,5191709,5355866
Connecticut,3594362,3596677
Delaware,916881,935614
District of Columbia,635040,658893
Florida,19355257,19893297
Georgia,9919000,10097343
Hawaii,1392766,1419561
Idaho,1595590,1634464
Illinois,12873763,12880580
Indiana,6537632,6596855
Iowa,3075935,3107126
Kansas,2885966,2904021
Kentucky,4383465,4413457
Louisiana,4604744,4649676
Maine,1328592,1330089
Maryland,5891819,5976407
Massachusetts,6655829,6745408
Michigan,9884781,9909877
Minnesota,5380615,5457173
Mississippi,2986137,2994079
Missouri,6025281,6063589
Montana,1005163,1023579
Nebraska,1855487,1881503
Nevada,2755245,2839099
New Hampshire,1321297,1326813
New Jersey,8876000,8938175
New Mexico,2084594,2085572
New York,19607140,19746227
North Carolina,9748181,9943964
North Dakota,701705,739482
Ohio,11550901,11594163
Oklahoma,3817059,3878051
Oregon,3898684,3970239
Pennsylvania,12770043,12787209
Rhode Island,1052637,1055173
South Carolina,4722621,4832482
South Dakota,834504,853175
Tennessee,6455177,6549352
Texas,26094422,26956958
Utah,2855194,2942902
Vermont,626138,626562
Virginia,8193422,8326289
Washington,6896325,7061530
West Virginia,1856313,1850326
Wisconsin,5724888,5757564
Wyoming,576893,584153
Puerto Rico,3642281,3548397
